RUN,RELAY,START TIME,END TIME
Manual,Relay 7,12:05:09,12:05:15
Automated,x,12:05:19,12:05:34
Automated,x,12:05:47,12:05:56
RUN,RELAY,START TIME,END TIME
Automated,x,12:14:51,12:15:05
Manual,Relay 9,12:15:09,12:15:13
