RUN,DELAY (s),RELAY,START TIME,END TIME
AUTOMATED,1.0,Relay 2,13:18:59,13:19:00
AUTOMATED,1.0,Relay 3,13:19:00,13:19:01
AUTOMATED,1.0,Relay 4,13:19:01,13:19:02
AUTOMATED,1.0,Relay 5,13:19:02,13:19:03
AUTOMATED,1.0,Relay 6,13:19:03,13:19:04
AUTOMATED,1.0,Relay 7,13:19:04,13:19:05
AUTOMATED,1.0,Relay 8,13:19:05,13:19:06
AUTOMATED,1.0,Relay 9,13:19:06,13:19:07
AUTOMATED,1.0,Relay 10,13:19:07,13:19:08
AUTOMATED,1.0,Relay 11,13:19:08,13:19:09
AUTOMATED,1.0,Relay 12,13:19:09,13:19:10
AUTOMATED,1.0,Relay 13,13:19:10,13:19:11
AUTOMATED,1.0,Relay 14,13:19:11,13:19:12
AUTOMATED,1.0,Relay 15,13:19:12,13:19:13
AUTOMATED,1.0,Relay 16,13:19:13,13:19:14
AUTOMATED,1.0,Complete automated run,13:18:59,13:19:14
 , , , , 
MANUAL,None,Relay 10,13:19:23,13:19:30
 , , , , 
AUTOMATED,2.0,Relay 2,13:19:35,13:19:37
AUTOMATED,2.0,Relay 3,13:19:37,13:19:39
AUTOMATED,2.0,Relay 4,13:19:39,13:19:41
AUTOMATED,2.0,Relay 5,13:19:41,13:19:43
AUTOMATED,2.0,Relay 6,13:19:43,13:19:45
AUTOMATED,2.0,Relay 7,13:19:35,13:19:46
 , , , , 
 , , , , 
RUN,DELAY (s),RELAY,START TIME,END TIME
AUTOMATED,1.0,Relay 2,13:31:23,13:31:24
AUTOMATED,1.0,Relay 3,13:31:24,13:31:25
AUTOMATED,1.0,Relay 4,13:31:25,13:31:26
AUTOMATED,1.0,Relay 5,13:31:26,13:31:27
AUTOMATED,1.0,Relay 6,13:31:23,13:31:27
 , , , , 
 , , , , 
MANUAL,None,Relay 6,13:31:58,13:32:01
 , , , , 
